iter	Passed	Remaining
405	7040	10301
406	7052	10276
407	7065	10251
408	7077	10226
409	7090	10203
410	7102	10178
411	7116	10156
412	7128	10132
413	7141	10107
414	7153	10083
415	7166	10060
416	7179	10036
417	7191	10013
418	7204	9989
419	7215	9964
420	7228	9941
421	7240	9917
422	7253	9894
423	7265	9869
424	7277	9846
425	7289	9821
426	7301	9798
427	7313	9774
428	7327	9752
429	7340	9730
430	7353	9707
431	7365	9683
432	7377	9660
433	7389	9636
434	7401	9612
435	7413	9589
436	7424	9565
437	7437	9542
438	7449	9519
439	7461	9496
440	7474	9474
441	7487	9452
442	7499	9429
443	7512	9406
444	7524	9384
445	7536	9361
446	7549	9340
447	7561	9316
448	7574	9295
449	7587	9273
450	7600	9251
451	7613	9230
452	7626	9209
453	7639	9187
454	7652	9166
455	7664	9144
456	7679	9124
457	7692	9103
458	7706	9083
459	7721	9064
460	7735	9044
461	7750	9025
462	7764	9005
463	7780	8987
464	7797	8971
465	7815	8955
466	7835	8943
467	7859	8934
468	7879	8921
469	7892	8900
470	7905	8878
471	7919	8859
472	7934	8839
473	7948	8820
474	7963	8801
475	7977	8781
476	7991	8762
477	8007	8745
478	8025	8728
479	8041	8711
480	8061	8698
481	8093	8698
482	8117	8689
483	8139	8677
484	8157	8662
485	8175	8646
486	8192	8630
487	8210	8613
488	8225	8595
489	8242	8578
490	8258	8560
491	8274	8543
492	8290	8525
493	8306	8508
494	8323	8491
495	8338	8472
496	8351	8452
497	8365	8432
498	8379	8413
499	8393	8393
500	8407	8374
501	8421	8354
502	8434	8333
503	8448	8314
504	8460	8293
505	8474	8273
506	8488	8253
507	8500	8232
508	8513	8212
509	8526	8191
510	8539	8171
511	8553	8152
512	8565	8131
513	8577	8110
514	8590	8090
515	8603	8069
516	8615	8049
517	8628	8028
518	8640	8008
519	8653	7988
520	8666	7968
521	8678	7947
522	8690	7925
523	8702	7905
524	8714	7884
525	8726	7863
526	8738	7843
527	8751	7822
528	8763	7802
529	8774	7781
530	8786	7760
531	8799	7740
532	8811	7720
533	8822	7699
534	8834	7678
535	8847	7658
536	8861	7639
537	8874	7620
538	8888	7602
539	8902	7583
540	8917	7565
541	8930	7546
542	8942	7526
543	8954	7506
544	8967	7486
545	8980	7467
546	8993	7447
547	9005	7428
548	9017	7408
549	9031	7389
550	9043	7369
551	9056	7349
552	9068	7329
553	9081	7311
554	9095	7292
555	9108	7273
556	9121	7254
557	9133	7234
558	9146	7215
559	9158	7196
560	9171	7176
561	9183	7157
562	9197	7138
563	9210	7120
564	9223	7100
565	9235	7081
566	9247	7062
567	9260	7043
568	9272	7023
569	9286	7005
570	9301	6988
571	9317	6971
572	9342	6962
573	9362	6948
574	9380	6933
575	9401	6920
576	9423	6908
577	9441	6892
578	9457	6876
579	9474	6861
580	9490	6844
581	9506	6827
582	9523	6811
583	9541	6796
584	9558	6780
585	9574	6764
586	9590	6747
587	9605	6730
588	9621	6713
589	9638	6697
590	9653	6680
591	9668	6663
592	9684	6646
593	9699	6629
594	9714	6612
595	9729	6595
596	9745	6578
597	9759	6560
598	9772	6542
599	9786	6524
600	9799	6506
601	9813	6487
602	9826	6469
603	9840	6451
604	9853	6433
605	9867	6415
606	9881	6397
607	9895	6380
608	9911	6363
609	9926	6346
610	9942	6329
611	9959	6314
612	9977	6298
613	9992	6282
614	10008	6265
615	10024	6248
616	10044	6234
617	10063	6220
618	10083	6206
619	10106	6194
620	10128	6181
621	10147	6166
622	10166	6151
623	10189	6139
624	10209	6125
625	10227	6110
626	10245	6094
627	10262	6079
628	10281	6064
629	10298	6048
630	10317	6033
631	10335	6018
632	10352	6002
633	10369	5986
634	10387	5970
635	10404	5954
636	10420	5938
637	10436	5921
638	10453	5905
639	10470	5889
640	10487	5873
641	10502	5856
642	10519	5840
643	10536	5824
644	10556	5809
645	10576	5796
646	10600	5783
647	10620	5769
648	10643	5756
649	10666	5743
650	10688	5729
651	10713	5718
652	10735	5704
653	10753	5689
654	10771	5673
655	10790	5658
656	10808	5643
657	10825	5626
658	10841	5609
659	10857	5593
660	10877	5578
661	10891	5561
662	10907	5544
663	10922	5527
664	10939	5510
665	10957	5495
666	10972	5478
667	10987	5460
668	11014	5449
669	11044	5439
670	11060	5423
671	11078	5407
672	11092	5389
673	11106	5372
674	11121	5354
675	11135	5337
676	11150	5319
677	11164	5302
678	11178	5284
679	11191	5266
680	11204	5248
681	11217	5230
682	11234	5214
683	11260	5202
684	11277	5185
685	11293	5169
686	11311	5153
687	11328	5137
688	11344	5120
689	11361	5104
690	11377	5087
691	11393	5070
692	11408	5054
693	11424	5037
694	11439	5020
695	11454	5003
696	11469	4986
697	11485	4969
698	11498	4951
699	11512	4933
700	11527	4916
701	11541	4899
702	11556	4882
703	11571	4865
704	11586	4848
705	11600	4830
706	11614	4813
707	11628	4795
708	11642	4778
709	11656	4761
710	11670	4743
711	11685	4726
712	11699	4709
713	11715	4692
714	11727	4674
715	11741	4657
716	11755	4639
717	11769	4622
718	11783	4605
719	11796	4587
720	11808	4569
721	11822	4551
722	11836	4534
723	11850	4517
724	11865	4500
725	11880	4483
726	11894	4466
727	11908	4449
728	11923	4432
729	11938	4415
730	11954	4399
731	11970	4382
732	11991	4368
733	12014	4354
734	12035	4339
735	12049	4322
736	12063	4304
737	12076	4287
738	12089	4269
739	12101	4251
740	12115	4234
741	12129	4217
742	12143	4200
743	12156	4182
744	12169	4165
745	12183	4148
746	12196	4130
747	12210	4113
748	12223	4096
749	12238	4079
750	12252	4062
751	12265	4044
752	12279	4027
753	12291	4010
754	12304	3992
755	12316	3975
756	12329	3957
757	12342	3940
758	12354	3922
759	12367	3905
760	12379	3887
761	12392	3870
762	12405	3853
763	12418	3835
764	12430	3818
765	12443	3801
766	12455	3783
767	12467	3766
768	12479	3748
769	12494	3731
770	12510	3715
771	12524	3699
772	12540	3682
773	12558	3666
774	12574	3650
775	12590	3634
776	12606	3618
777	12621	3601
778	12636	3584
779	12651	3568
780	12667	3552
781	12683	3535
782	12699	3519
783	12714	3502
784	12731	3486
785	12747	3470
786	12764	3454
787	12782	3438
788	12798	3422
789	12817	3407
790	12835	3391
791	12860	3377
792	12883	3362
793	12903	3347
794	12927	3333
795	12949	3318
796	12967	3302
797	12997	3290
798	13035	3279
799	13070	3267
800	13095	3253
801	13175	3252
802	13244	3249
803	13281	3237
804	13310	3224
805	13338	3210
806	13362	3195
807	13381	3179
808	13398	3163
809	13416	3146
810	13433	3130
811	13450	3114
812	13467	3097
813	13490	3082
814	13509	3066
815	13526	3050
816	13545	3033
817	13563	3017
818	13584	3002
819	13604	2986
820	13622	2970
821	13639	2953
822	13654	2936
823	13670	2919
824	13686	2903
825	13701	2886
826	13716	2869
827	13732	2852
828	13749	2836
829	13764	2819
830	13780	2802
831	13795	2785
832	13810	2768
833	13825	2751
834	13841	2735
835	13857	2718
836	13874	2701
837	13926	2692
838	13970	2680
839	14004	2667
840	14025	2651
841	14045	2635
842	14065	2619
843	14087	2603
844	14111	2588
845	14133	2572
846	14154	2556
847	14180	2541
848	14202	2526
849	14228	2510
850	14250	2495
851	14272	2479
852	14295	2463
853	14320	2448
854	14348	2433
855	14374	2418
856	14401	2403
857	14430	2388
858	14458	2373
859	14485	2358
860	14513	2343
861	14545	2328
862	14567	2312
863	14592	2297
864	14616	2281
865	14638	2265
866	14665	2249
867	14684	2233
868	14705	2216
869	14725	2200
870	14744	2183
871	14767	2167
872	14783	2150
873	14802	2133
874	14816	2116
875	14831	2099
876	14847	2082
877	14862	2065
878	14896	2050
879	14917	2034
880	14934	2017
881	14951	2000
882	14967	1983
883	14981	1965
884	14995	1948
885	15010	1931
886	15024	1914
887	15039	1896
888	15052	1879
889	15066	1862
890	15081	1844
891	15095	1827
892	15108	1810
893	15125	1793
894	15139	1776
895	15154	1758
896	15169	1741
897	15183	1724
898	15201	1707
899	15217	1690
900	15233	1673
901	15250	1656
902	15273	1640
903	15297	1624
904	15317	1607
905	15342	1591
906	15364	1575
907	15397	1560
908	15420	1543
909	15447	1527
910	15469	1511
911	15497	1495
912	15525	1479
913	15561	1464
914	15585	1447
915	15609	1431
916	15629	1414
917	15650	1397
918	15675	1381
919	15696	1364
920	15716	1348
921	15744	1331
922	15776	1316
923	15804	1299
924	15827	1283
925	15852	1266
926	15873	1250
927	15894	1233
928	15913	1216
929	15933	1199
930	15951	1182
931	15969	1165
932	15986	1148
933	16004	1130
934	16022	1113
935	16040	1096
936	16058	1079
937	16074	1062
938	16090	1045
939	16105	1028
940	16120	1010
941	16134	993
942	16149	976
943	16164	958
944	16180	941
945	16196	924
946	16212	907
947	16226	890
948	16240	872
949	16255	855
950	16269	838
951	16285	821
952	16300	803
953	16318	786
954	16334	769
955	16350	752
956	16370	735
957	16392	718
958	16412	701
959	16429	684
960	16444	667
961	16463	650
962	16482	633
963	16500	616
964	16527	599
965	16547	582
966	16568	565
967	16589	548
968	16608	531
969	16627	514
970	16651	497
971	16670	480
972	16689	463
973	16705	445
974	16721	428
975	16737	411
976	16752	394
977	16766	377
978	16782	359
979	16797	342
980	16812	325
981	16827	308
982	16840	291
983	16854	274
984	16868	256
985	16881	239
986	16896	222
987	16910	205
988	16924	188
989	16937	171
990	16950	153
991	16964	136
992	16980	119
993	16994	102
994	17009	85
995	17025	68
996	17041	51
997	17056	34
998	17072	17
999	17087	0
